#	OPEN_ENDED, "Текст вопроса", "Ответ", "Правильный ответ", "Весьма вероятный ответ"
#	CLOSE_ENDED, 2, "Текст вопроса", "Ответ 1", "Ответ 2", "Ответ 3"
#	YES_NO, Y, "Текст вопроса"
#	YES_NO, N, "Текст вопроса"
# Запятую не используем. Пока. Нумерация вариантов с 1.

OPEN_ENDED,"Каков диаметр земли (км)?","12742","12 742"
OPEN_ENDED,"Какой шаттл совершил больше всего полётов?","Дискавери","Дискавэри","Discovery"
OPEN_ENDED,"Назовите крупнейший спутник Сатурна?","Титан"
OPEN_ENDED,"К какому семейству относится черная смородина?","Крыжовниковые","Grossulariaceae"
OPEN_ENDED,"Кетцалькоатль в пантеоне майя","Кукулькан"
OPEN_ENDED,"Фамилией какого учёного названа вращающая циклоны сила?","Кориолис","де Кориолис","Кориолиса","де Кориолиса"
YES_NO, Y, "Орхидеи живут в симбиозе с грибами. Верно ли это?"
YES_NO, N, "Сработает ли переопределение статического метода java?"
YES_NO, N, "Сериализуются ли статические поля класса java?"
YES_NO, N, "Роет ли норы капибара?"
YES_NO, Y, "Есть ли на Байкале места глубже 1.5км?"
CLOSE_ENDED,3,"Каков класс корабля Каллипсо Жака Ива Кусто?",Корвет,Фрегат,Минный тральщик,Миноносец,Крейсер
CLOSE_ENDED,1,"Крупнейший остров озера Байкал?","Ольхон","Верхний","Долгий","Борчак","Ольтрек"
CLOSE_ENDED,2,"В каком графстве расположен Стоунхенж?","Йорк","Уилтшир","Кент","Норфолк","Бристоль"
CLOSE_ENDED,1,"Какой высоты гора Казбек?","5033.8 м","4567.7 м","8000 м","6340 м","12000 м"
CLOSE_ENDED,1,"Какой город древней цивилизации индейцев находится в Перу?","Мачу-Пикчу","Тикаль","Ушмаль","Теночтитлан"
CLOSE_ENDED,1,"Какая пустыня Австралии самая большая?","Большая пустыня Виктория","Большая Песчаная пустыня","Пустыня Гибсона","Тирари"
CLOSE_ENDED,2,"Выберите лишний термин.","Редуценты","Эндемики","Продуценты","Консументы"
CLOSE_ENDED,1,"Через какой город России протекает река Обь?","Новосибирск","Красноярск","Абакан","Кемерово","Омск"
CLOSE_ENDED,3,"Какой город НЕ расположен в Казахстане?","Уральск","Рудный","Сибай","Петропавловск","Павлодар"
CLOSE_ENDED,1,"Выберите высочайший вулкан Камчатки.","Ключевская Сопка","Карымская сопка","Шиш","Ходутка","Большая Удина"
